Lab,Drug for Plate,Worm Species,Worm Strain from plate,Worm strain thaw date,Plate_Title,Age at Death,Dead,Censor,Plate Position,scanner name,Compound_Conc,Conc_units,Trial,LogDeath,Experiment type,Plate_Trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,27.6719,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,27.9531,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,31.7969,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_1,37.7031,1,0,C::2,HERA,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_1_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,9.56493,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,12.3149,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,12.7212,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,13.3774,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,13.9399,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,15.6899,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,17.7837,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,18.0337,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,18.0962,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,18.9712,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
